filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
Orbiter2_Hotend_Mount_ABS_1h3m.gcode,job,error,"Apr 23, 2025 5:18 PM",3774,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
micron 5015 center_ABS_2h36m.gcode,job,completed,"Apr 22, 2025 5:49 PM",9347,8516,19311.067,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_2h35m.gcode,job,completed,"Apr 21, 2025 6:19 PM",9283,8082,18206.886,OrcaSlicer 2.2.0,--,--,--,--,--
[c]_diffuser_PETG_9m34s.gcode,job,completed,"Apr 21, 2025 5:27 PM",574,590,871.927,OrcaSlicer 2.2.0,--,--,--,--,--
[c]_diffuser_PETG_9m34s.gcode,job,completed,"Apr 21, 2025 5:01 PM",574,590,871.927,OrcaSlicer 2.2.0,--,--,--,--,--
flower-pot-super-mario-pipe-small-part1_ABS_2h56m.gcode,job,completed,"Apr 20, 2025 5:29 PM",10586,10016,26273.959,OrcaSlicer 2.2.0,--,--,--,--,--
flower-pot-super-mario-pipe-small-part1_ABS_2h56m.gcode,job,completed,"Apr 20, 2025 2:12 PM",10586,10016,26273.959,OrcaSlicer 2.2.0,--,--,--,--,--
flower-pot-super-mario-pipe-small-part1_ABS_2h56m.gcode,job,completed,"Apr 20, 2025 11:11 AM",10586,10016,26273.959,OrcaSlicer 2.2.0,--,--,--,--,--
flower-pot-super-mario-pipe-small-part1_ABS_2h38m.gcode,job,completed,"Apr 20, 2025 8:00 AM",9500,9076,24982.009,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_6h16m.gcode,job,completed,"Apr 19, 2025 4:32 PM",22545,20695,41105.065,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_6h16m.gcode,job,klippy_shutdown,"Apr 19, 2025 4:20 PM",22545,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_1515_raspi_mount_ABS_5h50m.gcode,job,completed,"Apr 19, 2025 10:40 AM",21022,20163,27275.922,OrcaSlicer 2.2.0,--,--,--,--,--
